"ExceptionalDate","Annual","ForecastIgnoreHistory","ForecastDateSpecific","ExceptionalDayTypeID"
2015-08-27,1,0,0,NA
2015-11-27,0,0,0,"2"
2015-12-24,1,0,0,NA
2015-07-03,0,0,0,NA
2015-09-07,0,0,0,NA
2015-11-11,1,0,0,NA
2015-11-26,0,0,0,NA
2015-12-25,1,1,1,NA
2016-01-01,1,1,1,NA
2016-01-18,0,0,0,NA
2016-05-30,0,0,0,NA
2016-07-04,1,0,0,NA
2016-09-05,0,0,0,NA
2016-11-24,0,0,0,NA
2016-12-26,0,0,0,NA
2015-12-26,1,0,0,NA
2016-01-19,1,0,0,NA
2016-02-15,0,0,0,NA
2016-03-02,1,0,0,NA
2016-04-21,1,0,0,NA
2015-06-19,1,0,0,NA
2016-11-25,0,0,0,"2"
2016-12-26,0,0,0,NA
