"OpenFrom","OpenTo","EffectiveFrom","EffectiveTo","DayOfWeek"
2016-02-16 08:15:00,2016-02-16 20:45:00,2001-02-16,NA,992
2016-02-16 08:15:00,2016-02-16 18:45:00,2001-02-16,NA,1024
2016-02-16 11:15:00,2016-02-16 17:45:00,2001-02-16,NA,16
2016-02-16 08:15:00,2016-02-16 20:45:00,2015-12-04,2015-12-04,992
2016-02-16 08:15:00,2016-01-08 21:45:00,2015-12-05,2015-12-05,2032
2016-02-16 08:15:00,2016-01-15 21:45:00,2015-12-12,2015-12-12,2032
2016-02-16 08:15:00,2016-01-22 21:45:00,2015-12-19,2015-12-19,2032
2016-02-16 08:15:00,2015-12-11 21:45:00,2015-12-11,2015-12-11,2032
2016-02-16 08:15:00,2015-12-14 21:45:00,2015-12-14,2015-12-14,2032
2016-02-16 08:15:00,2015-12-15 21:45:00,2015-12-15,2015-12-15,2032
2016-02-16 08:15:00,2015-12-16 21:45:00,2015-12-16,2015-12-16,2032
2016-02-16 08:15:00,2015-12-17 21:45:00,2015-12-17,2015-12-17,2032
2016-02-16 08:15:00,2015-12-18 21:45:00,2015-12-18,2015-12-18,2032
2016-02-16 08:15:00,2015-12-21 21:45:00,2015-12-21,2015-12-21,2032
2016-02-16 08:15:00,2015-12-22 21:45:00,2015-12-22,2015-12-22,2032
2016-02-16 08:15:00,2015-12-23 21:45:00,2015-12-23,2015-12-23,2032
2016-02-16 08:15:00,2015-12-23 19:00:00,2015-12-23,2015-12-23,2032
2016-02-16 08:15:00,2015-12-24 19:00:00,2015-12-24,2015-12-24,2032
2015-12-20 11:00:00,2015-12-20 19:00:00,2015-12-20,2015-12-20,2032
2015-12-25 00:00:00,2015-12-25 00:00:00,2015-12-25,2015-12-25,2032
